,District,Latitude,longitude,ACTIVE CASES,CONFIRMED CASES,DECEASED CASES,RECOVERED CASES
236,Chamarajanagara,11.9238058,76.9393558,334,5809,110,5354
237,Chikkaballapura,13.4358702,77.7312434,830,10881,107,9943
238,Chikkamagaluru,13.5,75.5,708,12111,136,11267
239,Chitradurga,14.2266443,76.4005122,773,11995,56,11166
240,Dakshina Kannada,12.82133045,75.22767162650372,2427,29693,667,26597
241,Davanagere,14.4661266,75.9206361,843,20482,254,19385
242,Dharwad,15.4540505,75.0066516,910,20539,554,19075
243,Gadag,15.4263647,75.6300786,248,10408,140,10020
244,Hassan,13.0070817,76.0992703,143,24311,367,23801
245,Haveri,14.7874825,75.3996731,354,10106,182,9570
246,Kalaburagi,17.166667,77.083333,638,19518,306,18574
247,Kodagu,12.3822808,75.66523533586208,306,4720,61,4353
248,Kolar,13.1369996,78.1339606,641,8100,150,7309
249,Koppal,15.3484144,76.1547421,535,13257,273,12449
250,Mandya,12.5238888,76.8961961,1300,16246,140,14806
251,Mysuru,12.3051828,76.6553609,2157,46844,949,43738
252,Raichur,16.083333,77.166667,394,13166,147,12625
253,Ramanagara,12.7252766,77.2804797,252,6699,67,6380
254,Shivamogga,13.9311723,75.569737,1062,20247,341,18844
255,Tumakuru,13.3400771,77.1006208,2193,20185,331,17661
256,Udupi,13.3419169,74.7473232,1082,21562,179,20301
257,Uttara Kannada,14.724474149999999,74.64223734496612,1003,12557,152,11402
258,Vijayapura,16.666667,75.916667,393,12148,191,11564
259,Yadgir,16.7689044,77.1380381,317,9976,61,9598
260,Alappuzha,9.48870715,76.41521381074048,7265,29259,91,21889
261,Ernakulam,9.9825665,76.2990313,11626,41191,134,29422
262,Idukki,9.8497872,76.9797914,1931,6736,7,4796
263,Kannur,11.8762254,75.3738043,5759,22930,99,17068
264,Kasaragod,12.421713050000001,75.19044977266321,2548,17895,69,15274
265,Kollam,8.8879509,76.5955013,6089,30501,100,24307
266,Kottayam,9.6287383,76.64553257124857,7340,21304,44,13920
267,Kozhikode,11.2586082,75.7788735,9454,43865,122,34283
268,Malappuram,11.10684475,76.10995510466662,11694,48526,141,36683
269,Palakkad,10.7691989,76.6512469,7690,24210,49,16470
270,Pathanamthitta,9.27854005,76.97405942942743,2640,14167,10,11516
271,Thiruvananthapuram,8.5241122,76.9360573,8701,55356,380,46232
272,Thrissur,10.5256264,76.2132542,10074,34821,97,24644
273,Wayanad,11.715219000000001,76.12690294658198,934,6457,10,5513
274,Kargil,34.420542600000005,75.6467756307598,139,1835,38,1658
275,Leh,34.1642029,77.5848133,552,4143,33,3558
276,Lakshadweep,10.8832771,72.8171069,0,0,0,0
277,Ahmednagar,19.162772500000003,74.85802430085195,6152,54831,841,47838
278,Akola,20.7618624,77.19217162524623,886,8458,271,7300
279,Amravati,21.15454115,77.64429617998744,1072,16746,348,15326
